BOUND,CREATED_DT,DISTANCE,SPEED,STREET_NAME,multiline
W,2018/10/31,,80,ANDERSON RD SE,"MULTILINESTRING ((-114.033043714805 50.948345453663, -114.033247790539 50.948337643772, -114.033387270375 50.948334649008, -114.033548353719 50.948334602849, -114.033710375966 50.948336039528, -114.033912365261 50.948341913477))"
N/A,2018/12/06,,45,88 ST SE RAMP,"MULTILINESTRING ((-113.907266140032 50.906438994102, -113.907281775711 50.906373971426, -113.907436835542 50.90572911948, -113.907595695854 50.905293961781, -113.907720196909 50.905112098238, -113.907954772133 50.904908437146, -113.908618303902 50.904647312997, -113.909182700348 50.904582341578, -113.90976557626 50.904686857594, -113.910150890713 50.904826897256, -113.910456150585 50.905029312184, -113.910504992418 50.905084683682, -113.910610990105 50.905204852651, -113.91072810336 50.905436855122, -113.910727728065 50.905633089277, -113.910684934364 50.905879835181, -113.910482169338 50.906174031536, -113.910150570126 50.906376214311, -113.910058455166 50.906432378219, -113.909514775286 50.906580837097, -113.907967589808 50.906742143612))"
E,2018/10/23,,80,CROWCHILD TR NW,"MULTILINESTRING ((-114.220624655554 51.128040848231, -114.220215399579 51.127872415155, -114.219641730574 51.127630663657, -114.219068066126 51.127388909331, -114.218494409091 51.12714715217, -114.217920756616 51.12690539308, -114.217680304852 51.126806740205, -114.217656702388 51.12679716524, -114.217241980333 51.126628887431, -114.217221313657 51.126620501645, -114.216857347196 51.126472813303, -114.216552273528 51.12634901528, -114.216415283253 51.126293425335, -114.216247200065 51.126225217359, -114.216162805841 51.126190969199, -114.216095592836 51.126163693047, -114.216046706027 51.126143856075, -114.215966288164 51.126111215862, -114.215791101479 51.126040129285, -114.215624006272 51.125972320425, -114.215293604442 51.125838239431, -114.214963204528 51.125704158396, -114.214806490307 51.1256409931, -114.214438881464 51.125492841839, -114.214400008084 51.12547717498, -114.213993530162 51.125313355437, -114.213587053682 51.125149533576, -114.213180581506 51.124985711191, -114.21273219869 51.124804993024, -114.212466947544 51.124698084287, -114.212283817941 51.124624273131, -114.212109716595 51.124554078021, -114.211863315073 51.124454731752, -114.211805854121 51.124431564396, -114.211327894275 51.124238853697, -114.211024586921 51.124116559978, -114.210849938403 51.124046141033, -114.210371986505 51.123853426405, -114.210360618137 51.123848627517, -114.210094333055 51.123736217194, -114.210065808533 51.123724179187, -114.209629749586 51.123540342625, -114.209350102666 51.123422455601, -114.209232608761 51.123372924479, -114.209176921827 51.123349448806, -114.209144859928 51.123335939906, -114.209119725046 51.123325341138, -114.209094243779 51.123314586565, -114.209038629922 51.123291129573, -114.208968652896 51.123261691353, -114.208628501142 51.123118267793, -114.208288352922 51.122974843235, -114.207933993749 51.122825734541, -114.207579636855 51.122676624767, -114.207352411706 51.122581009679, -114.207225282242 51.122527513913, -114.20720515594 51.122519044489))"
N,,0.39,60,14 ST,"MULTILINESTRING ((-114.094671045816 50.952034953539, -114.09467100215 50.952013459673, -114.094670994865 50.952009873616, -114.094670524796 50.951778484395, -114.094670923567 50.951541823694, -114.094670399339 50.951402869344, -114.094671064654 50.951284105297, -114.094671257988 50.951159994449, -114.094671751584 50.95096440931, -114.094672304501 50.950792422553, -114.094672977082 50.95068424677, -114.094672671013 50.950591029142, -114.094672300418 50.950573234872, -114.094673106643 50.950536452119, -114.094672599228 50.950503849827, -114.094672915664 50.950457853741, -114.094672447805 50.95043491464, -114.094672825588 50.950403705061, -114.094673119659 50.950347400295, -114.094672838762 50.950255363013, -114.094675329229 50.950040252898, -114.09467409875 50.949913023689, -114.09467289679 50.949787920561, -114.094672582151 50.94963303233, -114.09467463808 50.94952138441, -114.09467417066 50.94947343635, -114.094673869689 50.949325277028, -114.094675621588 50.949230006219, -114.094679131391 50.949031221767, -114.094681856515 50.948936565072, -114.094687491134 50.948838017892, -114.094698046564 50.948767325472, -114.094709541307 50.948681267677, -114.094724020852 50.948628396315, -114.09473949127 50.948584130162, -114.094774324821 50.948501482167))"
W,2018/10/30,,80,17 AV SE,"MULTILINESTRING ((-113.903725516709 51.03783929706, -113.904084555665 51.037858845608, -113.904404457539 51.037864816196, -113.904769627764 51.037872725033, -113.905095569335 51.03787679642, -113.905541258102 51.037876784409, -113.905750060892 51.037877732391, -113.906044242969 51.037879066906))"
E/W,,0.47,30,32A AV SE,"MULTILINESTRING ((-113.988032942721 51.024266206332, -113.988021185153 51.024677761937, -113.985421926274 51.024681980355, -113.985159661107 51.02468180171, -113.985133688035 51.024681784025, -113.983086355459 51.024680364843, -113.983071205808 51.024680354558, -113.982558650696 51.02467999331, -113.982557659449 51.024271250147))"
S,2018/10/30,,60,11 ST SE,"MULTILINESTRING ((-114.039840763206 50.987126636764, -114.039846196969 50.987075144802, -114.039850869846 50.987029954965, -114.039858739465 50.986963890568, -114.039865885346 50.986912585008, -114.03987300061 50.986865461524, -114.039878368336 50.986833387599, -114.03988741968 50.986786845993, -114.039894172225 50.986755276822, -114.039905487052 50.98670745429, -114.039915514822 50.986665217574, -114.039929733914 50.98661430784, -114.039944624567 50.986564277978, -114.039966609815 50.986496348746, -114.039986990932 50.98643963756, -114.040015413676 50.986363306922, -114.040017422107 50.986358575789))"
N/A,2018/10/30,,40,CROWCHILD TR NW RAMP,"MULTILINESTRING ((-114.116772650932 51.04882293462, -114.116712365614 51.048715556764, -114.116653193571 51.048611245958, -114.116629217813 51.048575387373, -114.116595010402 51.048541692031, -114.116557393802 51.048509434839, -114.116507256424 51.048473602315, -114.11644005601 51.048437069388, -114.116361490967 51.048404135538, -114.116272699757 51.04837551789, -114.116235958037 51.04836730276, -114.116189621362 51.048356941419, -114.116108830705 51.048344104358, -114.116020095343 51.048337733351, -114.115910898079 51.048335688651, -114.115848070225 51.04833944482, -114.115793980842 51.04834446974, -114.115730942848 51.048350326056, -114.115649420543 51.048357469978, -114.115567409142 51.04836465658, -114.115010670017 51.048413442829))"
E/W,,0.55,60,SOUTHLAND DR,"MULTILINESTRING ((-114.03097417914 50.964288331086, -114.03097583401 50.964295727502, -114.031044416982 50.964624194194, -114.031113000922 50.964952660826, -114.03117714108 50.965259587992, -114.031209207536 50.965419918907, -114.031211070379 50.965550609339, -114.031198734283 50.965694719123, -114.031175715336 50.965794558513, -114.031127856449 50.965939075111, -114.031103034991 50.966004958482, -114.031060454096 50.966074034374, -114.031021425095 50.966143109307, -114.030973513791 50.966210061379, -114.030902911598 50.96629347087, -114.030854990115 50.966345547382, -114.030810616347 50.966391247334, -114.03073428882 50.966461394599, -114.03065440829 50.966532605347, -114.030241669027 50.966864222791, -114.029811963256 50.967215478725, -114.029637763355 50.967358216295, -114.029553824891 50.967424880241, -114.029384023091 50.967559298004, -114.029318510642 50.967614310788, -114.029261327333 50.967670340898, -114.029211173096 50.967720173415, -114.029158981186 50.967785534591, -114.029121130412 50.967846786503, -114.029097601242 50.967890789602, -114.029074086376 50.967955496322, -114.029065918212 50.967996021911, -114.029063906637 50.968055547818, -114.029070083288 50.96810666078, -114.029085318694 50.968154902826, -114.029102756217 50.968195660268, -114.029145809871 50.968257762217, -114.029214330834 50.968330670776, -114.029282982297 50.968379827175, -114.029336125972 50.968412019084, -114.029411939803 50.968448879087, -114.029517454115 50.968485732438, -114.029615790472 50.968509646622, -114.02970593026 50.968526446443, -114.029790942754 50.968533542058, -114.029873774016 50.968536033567))"
W,2018/10/25,,60,COUNTRY HILLS BV NW,"MULTILINESTRING ((-114.120037955152 51.143816565749, -114.120395784806 51.14372351357, -114.120753613023 51.143630461194, -114.121103312257 51.143529677904, -114.121453008537 51.143428893569, -114.121802704722 51.143328108187, -114.122152399383 51.143227321758, -114.122502092521 51.143126535183, -114.122810850578 51.143037544429, -114.122851784133 51.143025746662, -114.12320147422 51.142924957095, -114.123551162783 51.142824166481, -114.123710060945 51.142776500256, -114.123824257286 51.142742244165, -114.123938453455 51.142707987063, -114.124342472329 51.142591787678, -114.124681586227 51.14248878539, -114.124777118719 51.142459768512, -114.125211764054 51.14232774683, -114.125695276769 51.142167889605, -114.126178786141 51.142008030379))"
N/S,2018/10/30,,80,84 ST SE,"MULTILINESTRING ((-113.911890523422 51.045640784393, -113.911890520523 51.045843777073, -113.911890517785 51.046171470828, -113.911890513619 51.046499164565, -113.911890509359 51.046841940356, -113.911890508723 51.046877606218, -113.911890503964 51.047258228755, -113.911890498565 51.047674517125, -113.91189049459 51.048090804567, -113.911890489181 51.048507092877, -113.911890486346 51.04875213851, -113.911890483509 51.048997184133, -113.911890483653 51.04903018273, -113.911890480669 51.049242230644, -113.911890478974 51.049342347448, -113.911890477828 51.049487276246, -113.91189047356 51.049732321837, -113.911890470715 51.049977368317, -113.91189046787 51.050222413888, -113.911890465023 51.050467459449, -113.911890462473 51.050711596139, -113.911890459921 51.050955732818, -113.911890459645 51.05097166351, -113.911890455943 51.051199868587, -113.911890453388 51.051444005245, -113.911890452836 51.051518711656, -113.911890450833 51.051688140995, -113.911890448275 51.051932277633, -113.911890448605 51.051941875063, -113.911890447351 51.051968844234, -113.91189044429 51.052176413361, -113.911890441729 51.052420549978, -113.911890426311 51.052646655889, -113.911890411998 51.052866917572, -113.911890410894 51.052872760891, -113.911890409317 51.052893886738, -113.911890395474 51.053098866784, -113.911890395382 51.053103425472, -113.911890381479 51.053324972669))"
E,2018/10/25,,60,NOSE HILL DR NW,"MULTILINESTRING ((-114.221973616873 51.105967543132, -114.2201053814 51.105354949035, -114.219808751171 51.105264172135, -114.219539367448 51.105182857081, -114.219288173131 51.105112924156, -114.218982558328 51.105039287298, -114.218477313696 51.104933674431, -114.217689832499 51.104812166451))"
E/W,2018/10/30,,30,CRESCENT RD NW,"MULTILINESTRING ((-114.079923727697 51.060813150746, -114.079889897194 51.060813322202, -114.079843607178 51.060813513847, -114.079753767735 51.060813999491, -114.079712302418 51.060814240831, -114.079590268654 51.060814854377, -114.079533803469 51.060815318023, -114.079394575403 51.060815094434, -114.079355976213 51.06081543888, -114.079296813746 51.060815266872, -114.079241020079 51.060814667337, -114.079176802286 51.06081556038, -114.079133825968 51.060818988491, -114.07910450574 51.060823894243, -114.079079906182 51.0608297533, -114.079047054635 51.060840184705, -114.079030547754 51.060846781728, -114.079012359378 51.060856140625, -114.07899666844 51.060866906519, -114.078975320657 51.060881552596, -114.078945029227 51.060910145951, -114.07892450476 51.060933315505, -114.078902803035 51.060957972748, -114.078863434794 51.061001974278, -114.078842237105 51.061026099877, -114.078811786903 51.061060428739, -114.078751558262 51.061128237357, -114.078727501679 51.061155764769, -114.078690657725 51.061197002001, -114.078675684571 51.061213901047, -114.078655159114 51.06123664534, -114.078628409633 51.06126704226, -114.078590557123 51.061310086171, -114.078550348048 51.061354937685, -114.078517542546 51.061392880116, -114.078511654086 51.061399044719, -114.078507276682 51.061402021454, -114.078480667689 51.061416060571, -114.078443115513 51.061437754572, -114.078398154071 51.061463914223, -114.078317494647 51.061510810968, -114.078190692895 51.061584293231, -114.078162907317 51.061600350353, -114.078135459284 51.061616089006, -114.078105147914 51.061633423442, -114.078065069985 51.061656605906, -114.07800646769 51.061690741194, -114.077970431883 51.061711796659, -114.077927827161 51.061736573737, -114.077832850812 51.061791021155, -114.077791762943 51.06181526678, -114.077725416175 51.061854186907, -114.077665466853 51.061889278525, -114.077595751151 51.061929582535, -114.077507005569 51.061981582147, -114.077440152238 51.062020714605, -114.077383065149 51.06205378689, -114.077331365207 51.062082819204, -114.077281012815 51.062110681942, -114.077239079133 51.062133652291, -114.077230937872 51.062138138141, -114.077178284741 51.062167151239, -114.077109049747 51.062205350149, -114.077063584804 51.062221292813, -114.077013715599 51.06223704598, -114.076946994626 51.062254084961, -114.076892397706 51.062264742227, -114.076829709809 51.062274980471, -114.076761623692 51.062282673645, -114.076498698484 51.062301965315, -114.076127905312 51.062327699496, -114.075711943162 51.062357285987, -114.075204292996 51.062393303723, -114.075008781084 51.062406600162, -114.074673045188 51.062430608172, -114.074509894894 51.062442609258, -114.074393262857 51.0624507554, -114.074329258315 51.062452656985, -114.074274262403 51.062452531027, -114.074232792532 51.062450857415, -114.07419401902 51.06244833345, -114.07414479223 51.062443690935, -114.074090505761 51.062437564709, -114.074042283947 51.062429734663, -114.073974837994 51.062417030859, -114.073791385247 51.062380395088, -114.073465281104 51.06231410812, -114.073260918903 51.06227259875, -114.073169865199 51.062253960785, -114.073093988134 51.062238287953, -114.072995512758 51.062215619013, -114.072975612675 51.062209895106, -114.072924350661 51.06219718059, -114.072885228744 51.062187007964, -114.072832615221 51.06217302041, -114.072786071469 51.062159665523, -114.072740539868 51.062146735202, -114.072712881971 51.062138255338, -114.072678817099 51.062127866441, -114.072641040437 51.062115781685, -114.072601239552 51.062102847748, -114.072556377092 51.062087154402, -114.072529730154 51.062077399126, -114.072479132474 51.062058736412, -114.072371096872 51.062015105278, -114.072354656441 51.062008465769, -114.07224535997 51.061963921045, -114.072052067239 51.06188522578, -114.071967059112 51.061850863747, -114.07190195385 51.061824136057, -114.071869903956 51.061809284991, -114.071840214097 51.061793795995, -114.071810857973 51.061776393776, -114.07177440925 51.061750924046, -114.071714674848 51.061709110021, -114.071640090237 51.06165647157, -114.071528623621 51.061575559638, -114.071090715663 51.061260335648, -114.070944622436 51.061159817876, -114.070715895072 51.061002442381, -114.070053256071 51.06054545034, -114.069519877952 51.060193867465, -114.069133458707 51.05995145626, -114.068757480712 51.059728828476, -114.068152883321 51.059385114822, -114.067848822716 51.059223530832, -114.067490904392 51.059031968597, -114.067297898405 51.058964882675, -114.067070814581 51.058915026796, -114.066832791451 51.058865178529, -114.065967582704 51.05858222437, -114.065538510896 51.05844189988, -114.065524940819 51.058440935699, -114.065418156377 51.058433347961, -114.065311502836 51.058443748468, -114.065218543882 51.058469653886, -114.065133807326 51.058505896415, -114.06503719359 51.058572602638))"
N,2018/10/31,,60,52 ST SE,"MULTILINESTRING ((-113.951336480954 50.912514193907, -113.951385449416 50.912547118379, -113.951441328828 50.912584277268, -113.951517698169 50.912633824683, -113.95159779255 50.912686909335, -113.951690928699 50.912745305189, -113.95174247607 50.912776581822, -113.951778821939 50.912798319225, -113.951807479797 50.912816469155, -113.951807377318 50.912915702743, -113.951885771589 50.912862753774, -113.951957778972 50.912902724817, -113.952040096702 50.912951900354, -113.952149271985 50.913015496813, -113.952166092959 50.913025466354, -113.952368467387 50.913136454346, -113.952484651942 50.913202271166, -113.952678617533 50.913306641298, -113.952777290765 50.913359517803, -113.952890559371 50.913420160226, -113.952987801766 50.913470944916, -113.95309173041 50.913526409674, -113.953215866441 50.913592009601, -113.953285574844 50.913629501273, -113.953332056651 50.913654500196, -113.953497625916 50.913741956526, -113.953624326062 50.913809992411, -113.953722126768 50.913861530064, -113.953807372619 50.913907010643, -113.953930571199 50.913972088917, -113.954007310611 50.914013296672, -113.954085551294 50.914055079424, -113.95420466115 50.914119787212, -113.954405121202 50.914226312792, -113.954481027577 50.91426661642, -113.954569578106 50.914313842674, -113.954676430372 50.914370415609, -113.954795979689 50.914433823916, -113.954886482554 50.914481892141, -113.954986632783 50.914537551521, -113.955084142282 50.914590426515, -113.955182817403 50.914645517894, -113.955243891571 50.914679675203, -113.955307533908 50.914717018597, -113.955404451194 50.914778759868, -113.955512937047 50.914840907316, -113.955695770838 50.914957722818, -113.955945336554 50.915117640296, -113.956143745057 50.915252044378, -113.956366939273 50.915419795654, -113.956720313754 50.915707215776, -113.956901640859 50.915867105875, -113.956994504006 50.915958053508, -113.957130991804 50.91609172736, -113.957301437441 50.916282007794, -113.957438961859 50.916442759333))"
W,2018/11/02,,60,SUN VALLEY BV SE,"MULTILINESTRING ((-114.044529687354 50.906663709107, -114.044972044003 50.906664530254, -114.045421028836 50.906664886861, -114.045870015098 50.90666524264, -114.046830856806 50.90666560018, -114.04696338753 50.9066665736, -114.047006995699 50.906666894074, -114.04704869811 50.906666726246, -114.047162351042 50.906666269552, -114.047297977297 50.906666012416, -114.047462309494 50.906666156994))"
W,2018/10/23,,60,128 AV NE,"MULTILINESTRING ((-113.990628104018 51.168975700424, -113.99119857875 51.168939723642, -113.991645408491 51.16892063655, -113.991923800494 51.16890594921, -113.992960162486 51.168858951421, -113.993093511031 51.168848664546, -113.993173685318 51.168835468111, -113.993191768103 51.168832491828))"
E/W,2014/06/11,0.1,70,PEIGAN TR SE,"MULTILINESTRING ((-113.977154379723 51.014965578362, -113.97739283282 51.014974530014, -113.977631286008 51.014983481179, -113.977869740714 51.014992430958, -113.978108194086 51.01500138115, -113.978359998131 51.015010831362, -113.978611802278 51.01502028193, -113.978863607954 51.015029731057, -113.979115412306 51.015039179641))"
E/W,,0.03,70,16 AV,"MULTILINESTRING ((-114.168583624269 51.074891446854, -114.168995601568 51.07500684157, -114.16936419665 51.075105240645, -114.169689408831 51.07518664359, -114.169933307292 51.07524428453, -114.170144688641 51.075295149113, -114.170353632344 51.075324812875, -114.170406245673 51.075327835843, -114.170442583852 51.075330034788, -114.170483425434 51.075332560672))"
E,2018/10/29,,70,MCKNIGHT BV NE,"MULTILINESTRING ((-113.962220874875 51.09597136835, -113.962127201007 51.09597061258, -113.961942949733 51.095970955492, -113.961537893847 51.095970013882, -113.961116684677 51.095970267416, -113.960703814607 51.095968517542, -113.96028595971 51.095969570189, -113.959949294021 51.095967966668, -113.959811766774 51.095967973417, -113.959682032811 51.095968201141, -113.959523640922 51.095967875828, -113.959449260995 51.095967850056, -113.95936871121 51.095967375307, -113.959269484865 51.09596712683, -113.959186993259 51.095966920969, -113.959087098112 51.095967430831, -113.958833143269 51.095966787033, -113.958664371974 51.095967007068, -113.958534205923 51.095966687694, -113.958473047539 51.095966457429, -113.958285092014 51.095966263769, -113.958176668116 51.095966809365, -113.95806552987 51.095966224785, -113.957823607364 51.095966948638, -113.957814721748 51.095966944533, -113.95781329411 51.095966944018, -113.957665490787 51.095966883405, -113.957415020577 51.095966515569, -113.957280961792 51.095967283826, -113.956887863676 51.095966610055, -113.956540594067 51.095967583627, -113.956424266121 51.095967268844, -113.956183645272 51.095968327799, -113.955751783719 51.095969371578, -113.955404201513 51.095970239174, -113.954863648856 51.095971981611, -113.954446230765 51.095975819228, -113.954057171313 51.09597667834, -113.953668110418 51.095977537055, -113.953504203308 51.095977471992))"
W,2018/12/06,,80,HIGHWAY 22X,"MULTILINESTRING ((-113.882914472358 50.907132616522, -113.883777617967 50.907122942674, -113.883862931639 50.907121985629, -113.892872478267 50.907020619275, -113.897212408751 50.906971542794))"
E,2018/11/02,,60,SUN VALLEY BV SE,"MULTILINESTRING ((-114.040475596515 50.906537061957, -114.039712363547 50.906537432825, -114.039445479092 50.906533996538, -114.039189782046 50.906527602688, -114.038926210193 50.906511785844, -114.03869509141 50.906495368811, -114.038572133993 50.906483380947, -114.038534526278 50.906479714678, -114.038269958451 50.906448580507, -114.037999481738 50.906406843118, -114.037789217778 50.906369310904, -114.037539385503 50.906316963021, -114.037379365085 50.906278942831, -114.037356769354 50.906273574074, -114.037109877593 50.90620767468, -114.036847752045 50.906129626961, -114.036623473206 50.906053116654, -114.036393287161 50.905968950119, -114.036078030816 50.90584669746, -114.035385893811 50.905570859423, -114.035354969932 50.905558279267, -114.035112423648 50.905459605064, -114.034630184412 50.90526740194, -114.034389180259 50.905169685898, -114.034001147021 50.905015694729, -114.033795558496 50.904934461, -114.033375178176 50.904766901379, -114.033096807934 50.904667425014, -114.032837138364 50.904588561177, -114.032545346461 50.904516339404, -114.032457447736 50.904499497827, -114.032232951139 50.904456482874, -114.031837589877 50.904397682904, -114.031470416323 50.904349621486, -114.030631098446 50.90423875408, -114.030608642885 50.904236308409, -114.030248664969 50.904191049722, -114.030098557168 50.904172325589))"
E,,1.4,60,17 AV SE,"MULTILINESTRING ((-113.998010207796 51.037071114856, -113.998032651847 51.037068765317, -113.99830420454 51.037041232186, -113.998734251608 51.037017168491, -113.999169915839 51.037001078057, -113.999355893618 51.036983228293, -113.999594476905 51.036980951363, -113.999746786363 51.036979868528, -113.99997211087 51.03697699298, -114.000130146414 51.036974825483, -114.000270698492 51.036974115951, -114.000324775729 51.036972633404, -114.000436750001 51.036972309409, -114.000522065631 51.03697194857, -114.00059995557 51.036971897854, -114.000839595263 51.036969032245, -114.001006152894 51.036966990258, -114.001258027508 51.036963143803, -114.00132501134 51.036964424101, -114.001497229438 51.036961871631, -114.001738726904 51.036959837505, -114.002059149391 51.036957300786, -114.002254813697 51.036955257402, -114.002395970164 51.036953220214, -114.002538271666 51.03695321721, -114.002653083488 51.036956784488, -114.00280286921 51.036957753682, -114.0029044008 51.036959128432, -114.003052660907 51.036960162969, -114.003371422347 51.036959115893, -114.003550982235 51.036961187206, -114.003795128902 51.036960537665, -114.004085545184 51.036962208956, -114.004333470342 51.036962200027, -114.004492876031 51.036961903639, -114.004618461174 51.036961669505, -114.004764250375 51.036962701968, -114.004830799297 51.036962745084, -114.004992499178 51.036962848863, -114.005136550179 51.036962686199, -114.00537376758 51.036964233455, -114.005530264436 51.036962668232, -114.0057253915 51.036964059438, -114.005811960307 51.03696317417, -114.006026114959 51.03696420164, -114.006194968193 51.036964192811, -114.006414888389 51.036961584709, -114.006599389739 51.036959496906, -114.006843698567 51.036956598046, -114.006873821945 51.036956563017, -114.006934373765 51.036956070397, -114.007032574392 51.036955085546, -114.007117579014 51.036954101417, -114.007238291622 51.036950912533, -114.007349301562 51.036948214075, -114.007444784347 51.036946005544, -114.007570154918 51.036941837037, -114.007708335023 51.03693742303, -114.007859323107 51.036932029015, -114.007970332713 51.036927861044, -114.008117438006 51.036921243456, -114.008222625972 51.03691732017, -114.008324707008 51.036913152489, -114.008399231509 51.03691094467, -114.008507597572 51.036906948981, -114.008550537371 51.036905472428, -114.008609064142 51.036903379813, -114.008757312939 51.036897624352, -114.008851452118 51.036893787629, -114.008984794021 51.036888729712, -114.009065129919 51.036885590582, -114.009224146718 51.036881400605, -114.009332089449 51.036878781414, -114.009393653292 51.03687738397, -114.009502701159 51.036875460339, -114.009587177979 51.036874235329, -114.009710305889 51.036872658252, -114.009771041896 51.036874045701, -114.009840887592 51.036875954657, -114.009979475899 51.036882035255, -114.010084384828 51.036887769798, -114.010205306683 51.036897681284, -114.010279294097 51.036904462956, -114.010389725106 51.036915593284, -114.010454051278 51.036922723607, -114.010521414512 51.036930028023, -114.010606447247 51.036940290222, -114.010688166565 51.036951248468, -114.010762156287 51.03696116366, -114.010904338503 51.036981341448, -114.010968940728 51.036991430887, -114.0110807543 51.0370109155, -114.011181801175 51.037028834124, -114.011293339827 51.037048666464, -114.011362636606 51.03706101795, -114.011478867682 51.037080327351, -114.01154871618 51.037091982866, -114.011635959136 51.037106595134, -114.011687034461 51.037115119508, -114.011756884534 51.0371269484, -114.011814585688 51.03713529765, -114.011889127962 51.03714608138, -114.01199044964 51.037160170545, -114.012065268651 51.037171128536, -114.012126038321 51.037179543839, -114.012177193474 51.037187347013, -114.012285496221 51.037201512506, -114.012482370233 51.03722608489, -114.012786172447 51.037268005388, -114.012937614923 51.037289977637, -114.013192771369 51.037322064976, -114.01343599828 51.037354442599, -114.01372006809 51.037394626117, -114.013886655506 51.037417463766, -114.014070925662 51.037442770331, -114.014120246066 51.03744955164, -114.014208357906 51.037461114358, -114.014321710808 51.03747527735, -114.014422672868 51.037488284781, -114.014600275314 51.037510252542, -114.014716381572 51.037523835867, -114.014872413043 51.037542333191, -114.014978881633 51.037554182461, -114.015123900395 51.03756920902, -114.015290944347 51.03758452199, -114.015466251172 51.037599833628, -114.015741599412 51.03762294276, -114.015877896389 51.0376327618, -114.015965090405 51.037639115559, -114.016106434567 51.037647775764, -114.016206018835 51.037652969756, -114.016335890425 51.037660763763, -114.016430884541 51.037664801226, -114.016504310918 51.037667684678, -114.016578653503 51.037668831137, -114.016652996507 51.037671135426, -114.016746153347 51.037672858035, -114.016837017433 51.0376745809, -114.016920997225 51.037675436282, -114.017025627443 51.037676000026, -114.017105017017 51.037675698964, -114.017191290895 51.037676265245, -114.017269251608 51.03767552738, -114.017316369942 51.03767505474, -114.017385571145 51.037672889624, -114.017479975491 51.037670451908, -114.017578225129 51.037667474152, -114.017683736588 51.037664496115, -114.017754491767 51.03766190623, -114.017804625363 51.03766043777, -114.017839766212 51.037659025516))"
E,2018/10/23,,60,128 AV NW,"MULTILINESTRING ((-114.160704896711 51.1679339925, -114.160539305583 51.167935091837, -114.160129285443 51.167937799576, -114.159006280215 51.167945206869, -114.157851053422 51.167952815865, -114.156566159325 51.16796126487, -114.155918988647 51.167965514648, -114.153763441725 51.167979645007))"
N/A,2018/10/30,,40,16 AV NE RAMP,"MULTILINESTRING ((-113.981009007564 51.066712175244, -113.98085808301 51.066708546658, -113.980737345838 51.066700418116, -113.980604534686 51.066687783608, -113.980477766394 51.06666704125, -113.98035762772 51.066637454004, -113.98024293961 51.066600496901, -113.980152400301 51.066560840586, -113.98005583045 51.066507668956, -113.979989445758 51.066455404084, -113.979937981462 51.066400949147, -113.979936646655 51.066399536637, -113.979901956204 51.066349078685, -113.979879338387 51.066299523569, -113.979865775251 51.066251771544, -113.97985827734 51.06620356029, -113.979861314404 51.066158514325, -113.979873417654 51.066091847895, -113.97989003535 51.066054011309, -113.979918730829 51.066008068086, -113.979953463329 51.065963929225, -113.979994229986 51.065921592024, -113.980042542326 51.065882860067, -113.980110476262 51.065840527459, -113.980182933947 51.06580540352, -113.980267211648 51.065774008662, -113.980342681537 51.065754200885, -113.980419658159 51.065740700486, -113.980514744605 51.065729003694, -113.980623409496 51.065726319452, -113.980732071687 51.065733544456, -113.980827146502 51.065749777508, -113.980905618718 51.065769610844, -113.9809810695 51.065795749911, -113.981040441853 51.065824118465, -113.981056516321 51.065831799174, -113.981122906453 51.065871450897, -113.981168170731 51.065902089703, -113.981223992231 51.065951649911, -113.981281318592 51.066012923013, -113.981325065647 51.066066985976, -113.981359325897 51.066126209296, -113.981383450002 51.066183873076, -113.981416613692 51.066284783239, -113.98144288388 51.066374228632, -113.981450805706 51.066401198988, -113.981451278736 51.066402810916, -113.981509470339 51.066593536609))"
N/A,2018/12/06,,80,STONEY TR SE RAMP,"MULTILINESTRING ((-113.92051014535 50.906217241925, -113.918465891736 50.905915600331, -113.917676093061 50.905802063135, -113.916660628517 50.905664573225, -113.915231493425 50.905455418044, -113.913736539188 50.905246195849, -113.913050181159 50.905150542482, -113.912561287635 50.905072872784, -113.912166418933 50.905007165515, -113.911762202435 50.904911716479, -113.911442617852 50.904822277116, -113.911076067191 50.904703068649, -113.910577926104 50.904548079895, -113.910098572587 50.904404996287, -113.909703747521 50.904321440151, -113.909271329936 50.904225961563, -113.908904640077 50.904184049861, -113.90856612795 50.904159999639, -113.90803012498 50.904135793037, -113.907255128379 50.904093750693))"
